chrom,start,end,strand,name
Chr1,3120,4739,-,KH.L28.8.v1.A.ND1-1
Chr1,3120,4611,-,KH.L28.8.v1.A.nonSL2-1
Chr1,6029,35731,-,KH.L28.1.v1.A.SL1-1
Chr1,19362,21171,+,KH.L28.2.v1.A.ND1-1
Chr1,19489,21171,+,KH.L28.2.v1.A.SL2-1
Chr1,19491,21171,+,KH.L28.2.v1.A.SL3-1
Chr1,36689,41252,-,KH.L28.6.v1.B.nonSL2-1
Chr1,36689,41239,-,KH.L28.6.v1.B.SL1-1
Chr1,41713,48152,-,KH.L28.5.v1.A.ND1-1
Chr1,54996,55262,-,KH.L60.10.v1.B.SL1-1
Chr1,55263,56856,-,KH.L60.7.v1.A.nonSL2-1
Chr1,55263,56829,-,KH.L60.7.v1.A.SL1-1
Chr1,55263,56825,-,KH.L60.7.v1.A.nonSL5-1
Chr1,55263,56821,-,KH.L60.7.v1.A.nonSL3-1
Chr1,55263,56812,-,KH.L60.7.v1.A.nonSL4-1
Chr1,57995,60322,+,KH.L60.3.v1.A.ND1-1
Chr1,58152,60322,+,KH.L60.3.v1.A.nonSL6-1
Chr1,58159,60322,+,KH.L60.3.v1.A.nonSL3-1
Chr1,58181,60322,+,KH.L60.3.v1.A.nonSL11-1
Chr1,58188,60322,+,KH.L60.3.v1.A.nonSL5-1
Chr1,58203,60322,+,KH.L60.3.v1.A.nonSL7-1
Chr1,58206,60322,+,KH.L60.3.v1.A.nonSL4-1
Chr1,58207,60322,+,KH.L60.3.v1.A.SL13-1
Chr1,58214,60322,+,KH.L60.3.v1.A.nonSL2-1
Chr1,58220,60322,+,KH.L60.3.v1.A.nonSL10-1
Chr1,58221,60322,+,KH.L60.3.v1.A.nonSL14-1
Chr1,58232,60322,+,KH.L60.3.v1.A.nonSL8-1
Chr1,58239,60322,+,KH.L60.3.v1.A.nonSL12-1
Chr1,58243,60322,+,KH.L60.3.v1.A.nonSL9-1
Chr1,59679,71846,-,KH.L60.9.v2.B.ND1-1
Chr1,59679,71805,-,KH.L60.9.v2.B.SL6-1
Chr1,59679,71789,-,KH.L60.9.v2.B.nonSL5-1
Chr1,59679,71788,-,KH.L60.9.v2.B.nonSL4-1
Chr1,59679,71785,-,KH.L60.9.v2.B.nonSL3-1
Chr1,59679,60384,-,KH.L60.9.v1.B.SL2-1
Chr1,72763,73938,+,KH.L60.1.v1.A.SL1-1
Chr1,72763,73938,+,KH.L60.1.v2.A.SL1-1
Chr1,72763,73938,+,KH.L60.1.v3.A.SL1-1
Chr1,72763,73938,+,KH.L60.1.v4.A.SL1-1
Chr1,72769,73938,+,KH.L60.1.v1.A.SL2-1
Chr1,72769,73938,+,KH.L60.1.v2.A.SL2-1
Chr1,72769,73938,+,KH.L60.1.v3.A.SL2-1
Chr1,72769,73938,+,KH.L60.1.v4.A.SL2-1
Chr1,72809,73938,+,KH.L60.1.v1.A.nonSL4-1
Chr1,72809,73938,+,KH.L60.1.v2.A.nonSL4-1
Chr1,72809,73938,+,KH.L60.1.v3.A.nonSL4-1
Chr1,72809,73938,+,KH.L60.1.v4.A.nonSL4-1
Chr1,72872,73938,+,KH.L60.1.v1.A.nonSL5-1
Chr1,72872,73938,+,KH.L60.1.v2.A.nonSL5-1
Chr1,72872,73938,+,KH.L60.1.v3.A.nonSL5-1
Chr1,72872,73938,+,KH.L60.1.v4.A.nonSL5-1
Chr1,73151,73938,+,KH.L60.1.v1.A.nonSL8-1
Chr1,73151,73938,+,KH.L60.1.v2.A.nonSL8-1
Chr1,73151,73938,+,KH.L60.1.v3.A.nonSL8-1
Chr1,73151,73938,+,KH.L60.1.v4.A.nonSL8-1
Chr1,73160,73938,+,KH.L60.1.v1.A.nonSL3-1
Chr1,73160,73938,+,KH.L60.1.v2.A.nonSL3-1
Chr1,73160,73938,+,KH.L60.1.v3.A.nonSL3-1
Chr1,73160,73938,+,KH.L60.1.v4.A.nonSL3-1
Chr1,73162,73938,+,KH.L60.1.v1.A.nonSL6-1
Chr1,73162,73938,+,KH.L60.1.v2.A.nonSL6-1
Chr1,73162,73938,+,KH.L60.1.v3.A.nonSL6-1
Chr1,73162,73938,+,KH.L60.1.v4.A.nonSL6-1
Chr1,73178,73938,+,KH.L60.1.v1.A.nonSL7-1
Chr1,73178,73938,+,KH.L60.1.v2.A.nonSL7-1
Chr1,73178,73938,+,KH.L60.1.v3.A.nonSL7-1
Chr1,73178,73938,+,KH.L60.1.v4.A.nonSL7-1
Chr1,73939,75055,+,KH.L60.14.v1.B.SL1-1
Chr1,74854,78359,-,KH.L60.12.v1.A.nonSL1-1
Chr1,74854,78317,-,KH.L60.12.v1.A.nonSL2-1
Chr1,74854,78314,-,KH.L60.12.v1.A.nonSL4-1
Chr1,74854,78305,-,KH.L60.12.v1.A.nonSL3-1
Chr1,74854,78245,-,KH.L60.12.v1.A.nonSL5-1
