chrom,start,end,strand,name
Chr1,3120,4757,-,KY21.Chr1.1.v1.nonSL11-1
Chr1,3120,4683,-,KY21.Chr1.1.v1.nonSL18-1
Chr1,3120,4670,-,KY21.Chr1.1.v1.nonSL16-1
Chr1,3120,4668,-,KY21.Chr1.1.v1.nonSL14-1
Chr1,3120,4659,-,KY21.Chr1.1.v1.nonSL19-1
Chr1,3120,4657,-,KY21.Chr1.1.v1.nonSL13-1
Chr1,3120,4655,-,KY21.Chr1.1.v1.nonSL4-1
Chr1,3120,4654,-,KY21.Chr1.1.v1.nonSL15-1
Chr1,3120,4650,-,KY21.Chr1.1.v1.SL2-1
Chr1,3120,4643,-,KY21.Chr1.1.v1.nonSL8-1
Chr1,3120,4642,-,KY21.Chr1.1.v1.SL1-1
Chr1,3120,4641,-,KY21.Chr1.1.v1.nonSL12-1
Chr1,3120,4634,-,KY21.Chr1.1.v1.nonSL5-1
Chr1,3120,4629,-,KY21.Chr1.1.v1.nonSL6-1
Chr1,3120,4626,-,KY21.Chr1.1.v1.nonSL7-1
Chr1,3120,4613,-,KY21.Chr1.1.v1.nonSL17-1
Chr1,3120,4597,-,KY21.Chr1.1.v1.nonSL9-1
Chr1,3120,4593,-,KY21.Chr1.1.v1.SL3-1
Chr1,3120,4587,-,KY21.Chr1.1.v1.nonSL10-1
Chr1,5840,35731,-,KY21.Chr1.2.v1.SL1-1
Chr1,19490,21171,+,KY21.Chr1.3.v1.ND1-1
Chr1,36689,41239,-,KY21.Chr1.4.v1.SL1-1
Chr1,41713,55284,-,KY21.Chr1.5.v1.SL1-1
Chr1,41713,55262,-,KY21.Chr1.5.v1.SL2-1
Chr1,41713,55258,-,KY21.Chr1.5.v1.nonSL3-1
Chr1,55263,56875,-,KY21.Chr1.6.v1.nonSL4-1
Chr1,55263,56873,-,KY21.Chr1.6.v1.nonSL6-1
Chr1,55263,56864,-,KY21.Chr1.6.v1.nonSL3-1
Chr1,55263,56858,-,KY21.Chr1.6.v1.nonSL5-1
Chr1,55263,56829,-,KY21.Chr1.6.v1.SL1-1
Chr1,55263,56809,-,KY21.Chr1.6.v1.nonSL2-1
Chr1,55263,56801,-,KY21.Chr1.6.v1.nonSL7-1
Chr1,58152,60322,+,KY21.Chr1.7.v1.ND1-1
Chr1,59679,71869,-,KY21.Chr1.8.v1.SL1-1
Chr1,59679,71826,-,KY21.Chr1.8.v1.SL2-1
Chr1,72763,74007,+,KY21.Chr1.9.v1.SL2-2
Chr1,72763,74007,+,KY21.Chr1.9.v2.SL2-2
Chr1,72763,74002,+,KY21.Chr1.9.v1.SL2-1
Chr1,72763,74002,+,KY21.Chr1.9.v2.SL2-1
Chr1,72763,73991,+,KY21.Chr1.9.v2.SL2-3
Chr1,72768,74007,+,KY21.Chr1.9.v1.nonSL3-2
Chr1,72768,74007,+,KY21.Chr1.9.v2.nonSL3-2
Chr1,72768,74002,+,KY21.Chr1.9.v1.nonSL3-1
Chr1,72768,74002,+,KY21.Chr1.9.v2.nonSL3-1
Chr1,72768,73991,+,KY21.Chr1.9.v2.nonSL3-3
Chr1,72769,74007,+,KY21.Chr1.9.v1.SL1-2
